action_id,report_id,type,name,id,start,end
1290,21,watching channel,RISHTEY,26,1.51025E+12,1.51025E+12
1291,21,watching channel,&amp; TV HD,27,1.51025E+12,1.51025E+12
1292,21,watching channel,&amp; TV IND,28,1.51025E+12,1.51025E+12
1293,21,watching channel,&amp; TV UK,29,1.51025E+12,1.51025E+12
1294,21,watching channel,&amp; PICTURES HD,30,1.51025E+12,1.51025E+12
1295,21,watching channel,ZEE TV HD,33,1.51025E+12,1.51025E+12
1296,21,watching channel,ZEE TV IND,34,1.51025E+12,1.51025E+12
1297,21,watching channel,STAR PLUS IND,5,1.51027E+12,1.51027E+12
1298,21,watching channel,STAR PLUS EU,6,1.51027E+12,1.51027E+12
1299,21,watching channel,STAR UTSAV,7,1.51027E+12,1.51027E+12
1300,21,watching channel,COLORS HD,8,1.51027E+12,1.51027E+12
1301,21,watching channel,COLORS IND,9,1.51027E+12,1.51027E+12
1302,21,watching channel,COLORS UK,10,1.51027E+12,1.51027E+12
1303,21,watching channel,SONY TV HD,12,1.51027E+12,1.51027E+12
1304,21,watching channel,SONY TV IND,13,1.51027E+12,1.51027E+12
1305,21,watching channel,SONY TV UK,14,1.51027E+12,1.51027E+12
1306,21,watching channel,SONY MIX,15,1.51027E+12,1.51027E+12
1307,21,watching channel,SONY SAB,17,1.51027E+12,1.51027E+12
1308,21,watching channel,SONY SAB UK,18,1.51027E+12,1.51027E+12
1309,21,watching channel,SONY MAX HD,19,1.51027E+12,1.51027E+12
1310,21,watching channel,SONY MAX,20,1.51027E+12,1.51027E+12
1311,21,watching channel,SONY MAX UK,21,1.51027E+12,1.51027E+12
1312,21,watching channel,SONY MAX 2,22,1.51027E+12,1.51027E+12
1313,21,watching channel,RISHTEY CINEPLEX,23,1.51027E+12,1.51027E+12
1314,21,watching channel,RISHTY EU,25,1.51027E+12,1.51027E+12
1315,21,watching channel,RISHTEY,26,1.51027E+12,1.51027E+12
1316,21,watching channel,&amp; TV HD,27,1.51027E+12,1.51027E+12
1317,21,watching channel,&amp; TV IND,28,1.51027E+12,1.51027E+12
1318,21,watching channel,&amp; TV UK,29,1.51027E+12,1.51027E+12
1319,21,watching channel,&amp; PICTURES HD,30,1.51027E+12,1.51027E+12
1320,21,watching channel,ZEE TV HD,33,1.51027E+12,1.51027E+12
1321,21,watching channel,ZEE TV IND,34,1.51027E+12,1.51027E+12
1322,21,watching channel,ZEE TV UK,35,1.51027E+12,1.51027E+12
1323,21,watching channel,ZEE  TV USA,38,1.51027E+12,1.51027E+12
1324,21,watching channel,ZEE TV AUS,39,1.51027E+12,1.51027E+12
1325,21,watching channel,ZEE CINEMA HD,40,1.51027E+12,1.51027E+12
1326,21,watching channel,ZEE CINEMA IND,41,1.51027E+12,1.51027E+12
1327,21,watching channel,ZEE CINEMA UK,42,1.51027E+12,1.51027E+12
1328,21,watching channel,ZEE CINEMA INT.,43,1.51027E+12,1.51027E+12
1329,21,watching channel,ZEE ACTION,44,1.51027E+12,1.51027E+12
1330,21,watching channel,ZEE CLASSIC ,45,1.51027E+12,1.51027E+12
1331,21,watching channel,ZEE ANMOL,46,1.51027E+12,1.51027E+12
1332,21,watching channel,STAR GOLD HD,48,1.51027E+12,1.51027E+12
1333,21,watching channel,STAR GOLD UK,49,1.51027E+12,1.51027E+12
1334,21,watching channel,ZING IND,50,1.51027E+12,1.51027E+12
1335,21,watching channel,ZING UK,51,1.51027E+12,1.51027E+12
